,RunNumber,Staves,Rows,PedestalValue
0,298596,1A,M1B,0.516888088268408
1,298596,1A,M1T,0.5229678000450348
2,298596,1A,M2B,0.6316145012384597
3,298596,1A,M2T,0.6561585228552128
4,298596,1A,M3B,0.39495609097050216
5,298596,1A,M3T,0.4877279891916235
6,298596,1A,M4B,0.40508894393154693
7,298596,1A,M4T,0.22900247691961273
8,298596,1A,S1B,0.4539518126548075
9,298596,1A,S1T,0.4671245215041657
10,298596,1A,S2B,0.5763341589732043
11,298596,1A,S2T,0.5398558883134429
12,298596,1A,S3B,0.3906777752758388
13,298596,1A,S3T,0.45823012834947086
14,298596,1A,S4B,0.31637018689484353
15,298596,1A,S4T,0.4976356676424229
16,298596,1C,M1B,0.4735419950461608
17,298596,1C,M1T,0.43920288223373116
18,298596,1C,M2B,0.2627786534564287
19,298596,1C,M2T,0.6156271110110336
20,298596,1C,M3B,0.6379193875253322
21,298596,1C,M3T,0.6016662913758163
22,298596,1C,M4B,0.678225624859266
23,298596,1C,M4T,0.581625759963972
24,298596,1C,S1B,0.45192524206259854
25,298596,1C,S1T,0.47489304210763345
26,298596,1C,S2B,0.5980634992118892
27,298596,1C,S2T,0.46228326953388876
28,298596,1C,S3B,0.48750281468137807
29,298596,1C,S3T,0.5586579599189372
30,298596,1C,S4B,0.6430984012609773
31,298596,1C,S4T,0.49921188921414095
32,298596,2A,M1B,0.5251069578923666
33,298596,2A,M1T,0.41004278315694664
34,298596,2A,M2B,0.7243863994595812
35,298596,2A,M2T,0.506867822562486
36,298596,2A,M3B,0.5541544697140284
37,298596,2A,M3T,0.6313893267282144
38,298596,2A,M4B,0.2713352848457555
39,298596,2A,M4T,0.43931546948885386
40,298596,2A,S1B,0.5226300382796667
41,298596,2A,S1T,0.4550776852060347
42,298596,2A,S2B,0.5737446521053817
43,298596,2A,S2T,0.47849583427156045
44,298596,2A,S3B,0.5573069128574646
45,298596,2A,S3T,0.5757712226975906
46,298596,2A,S4B,0.5757712226975906
47,298596,2A,S4T,0.5757712226975906
48,298596,2C,M1B,0.3396757487052466
49,298596,2C,M1T,0.42085115964872777
50,298596,2C,M2B,0.7926142760639496
51,298596,2C,M2T,0.5291600990767845
52,298596,2C,M3B,0.474667867597388
53,298596,2C,M3T,0.5093447421751858
54,298596,2C,M4B,0.5795991893717631
55,298596,2C,M4T,0.775951362305787
56,298596,2C,S1B,0.4361630263454177
57,298596,2C,S1T,0.4871650529160099
58,298596,2C,S2B,0.361630263454177
59,298596,2C,S2T,0.3136680927718982
60,298596,2C,S3B,0.7198829092546724
61,298596,2C,S3T,0.7660436838549876
62,298596,2C,S4B,0.7660436838549876
63,298596,2C,S4T,0.7660436838549876
64,298596,3A,M1B,0.5935600090069804
65,298596,3A,M1T,0.3751407340689034
