,RunNumber,Staves,Rows,PedestalValue
0,293528,1A,M1B,0.562313988095238
1,293528,1A,M1T,0.5339781746031745
2,293528,1A,M2B,0.4362599206349206
3,293528,1A,M2T,0.4717881944444444
4,293528,1A,M3B,0.4989459325396825
5,293528,1A,M3T,0.6225818452380952
6,293528,1A,M4B,0.515438988095238
7,293528,1A,M4T,0.5345982142857142
8,293528,1A,S1B,0.5110367063492063
9,293528,1A,S1T,0.49125744047619047
10,293528,1A,S2B,0.6349826388888888
11,293528,1A,S2T,0.5245845734126984
12,293528,1A,S3B,0.49224950396825395
13,293528,1A,S3T,0.6031746031746031
14,293528,1A,S4B,0.505642361111111
15,293528,1A,S4T,0.3020833333333333
16,293528,1C,M1B,0.5160900297619048
17,293528,1C,M1T,0.521422371031746
18,293528,1C,M2B,0.6478174603174602
19,293528,1C,M2T,0.5460069444444444
20,293528,1C,M3B,0.5287078373015872
21,293528,1C,M3T,0.6729290674603174
22,293528,1C,M4B,0.5690104166666666
23,293528,1C,M4T,0.4513268849206349
24,293528,1C,S1B,0.5282428075396824
25,293528,1C,S1T,0.507750496031746
26,293528,1C,S2B,0.46840897817460314
27,293528,1C,S2T,0.513702876984127
28,293528,1C,S3B,0.5031001984126984
29,293528,1C,S3T,0.6609002976190476
30,293528,1C,S4B,0.41059027777777773
31,293528,1C,S4T,0.43898809523809523
32,293528,2A,M1B,0.5675843253968254
33,293528,2A,M1T,0.5308469742063492
34,293528,2A,M2B,0.4917534722222222
35,293528,2A,M2T,0.617125496031746
36,293528,2A,M3B,0.7142237103174602
37,293528,2A,M3T,0.997705853174603
38,293528,2A,M4B,0.5166170634920635
39,293528,2A,M4T,0.4835689484126984
40,293528,2A,S1B,0.5516493055555555
41,293528,2A,S1T,0.505704365079365
42,293528,2A,S2B,0.6434771825396826
43,293528,2A,S2T,0.5631820436507936
44,293528,2A,S3B,0.6879960317460316
45,293528,2A,S3T,0.6493055555555555
46,293528,2A,S4B,0.6493055555555555
47,293528,2A,S4T,0.6493055555555555
48,293528,2C,M1B,0.5022941468253967
49,293528,2C,M1T,0.5531063988095237
50,293528,2C,M2B,0.4614955357142857
51,293528,2C,M2T,0.617001488095238
52,293528,2C,M3B,0.7371651785714285
53,293528,2C,M3T,0.956659226190476
54,293528,2C,M4B,0.47953869047619047
55,293528,2C,M4T,0.28230406746031744
56,293528,2C,S1B,0.5091145833333333
57,293528,2C,S1T,0.5010540674603174
58,293528,2C,S2B,0.6389508928571428
59,293528,2C,S2T,0.7569444444444444
60,293528,2C,S3B,0.6703869047619047
61,293528,2C,S3T,0.7079613095238095
62,293528,2C,S4B,0.7079613095238095
63,293528,2C,S4T,0.7079613095238095
64,293528,3A,M1B,0.4676959325396825
65,293528,3A,M1T,0.4802827380952381
66,293528,3A,M2B,0.6723710317460316
67,293528,3A,M2T,0.470734126984127
68,293528,3A,M3B,0.6023685515873015
69,293528,3A,M3T,0.4572792658730158
70,293528,3A,M4B,0.5355902777777777
71,293528,3A,M4T,0.33612351190476186
72,293528,3A,S1B,0.41449652777777773
73,293528,3A,S1T,0.5404265873015872
74,293528,3A,S2B,0.6044146825396826
75,293528,3A,S2T,0.4188368055555555
76,293528,3A,S3B,0.5854414682539683
77,293528,3A,S3T,0.45182291666666663
78,293528,3A,S4B,0.45182291666666663
79,293528,3A,S4T,0.45182291666666663
80,293528,3C,M1B,0.5160590277777778
81,293528,3C,M1T,0.5178571428571428
82,293528,3C,M2B,0.45777529761904756
83,293528,3C,M2T,0.4815848214285714
84,293528,3C,M3B,0.4542410714285714
85,293528,3C,M3T,0.509796626984127
86,293528,3C,M4B,0.380890376984127
87,293528,3C,M4T,0.35274057539682535
88,293528,3C,S1B,0.5267237103174602
89,293528,3C,S1T,0.5251116071428571
90,293528,3C,S2B,0.4283234126984127
91,293528,3C,S2T,0.4641617063492063
92,293528,3C,S3B,0.44463045634920634
93,293528,3C,S3T,0.4847470238095238
94,293528,3C,S4B,0.4847470238095238
95,293528,3C,S4T,0.4847470238095238
96,293528,4A,M1B,0.45802331349206343
97,293528,4A,M1T,0.5031001984126984
98,293528,4A,M2B,0.5920138888888888
99,293528,4A,M2T,0.4678819444444444
100,293528,4A,M3B,0.5491071428571428
101,293528,4A,M3T,0.44456845238095233
102,293528,4A,M4B,0.49224950396825395
103,293528,4A,M4T,0.48673115079365076
104,293528,4A,S1B,0.44010416666666663
