,RunNumber,Staves,Rows,PedestalValue
0,298593,1A,M1B,0.5059671245215042
1,298593,1A,M1T,0.48750281468137807
2,298593,1A,M2B,0.5179013735645125
3,298593,1A,M2T,0.5183517225850034
4,298593,1A,M3B,0.5145237559108309
5,298593,1A,M3T,0.4854762440891691
6,298593,1A,M4B,0.5548299932447647
7,298593,1A,M4T,0.4825489754559784
8,298593,1A,S1B,0.4666741724836749
9,298593,1A,S1T,0.4871650529160099
10,298593,1A,S2B,0.5281468137806801
11,298593,1A,S2T,0.5041657284395407
12,298593,1A,S3B,0.5374915559558658
13,298593,1A,S3T,0.5446971402837198
14,298593,1A,S4B,0.47331682053591534
15,298593,1A,S4T,0.45890565188020715
16,298593,1C,M1B,0.48648952938527357
17,298593,1C,M1T,0.46881333033100653
18,298593,1C,M2B,0.5289349245665391
19,298593,1C,M2T,0.5314118441792389
20,298593,1C,M3B,0.4417923891015537
21,298593,1C,M3T,0.45034902049088044
22,298593,1C,M4B,0.42085115964872777
23,298593,1C,M4T,0.4753433911281243
24,298593,1C,S1B,0.4873902274262554
25,298593,1C,S1T,0.4877279891916235
26,298593,1C,S2B,0.5327628912407115
27,298593,1C,S2T,0.4833370862418374
28,298593,1C,S3B,0.48750281468137807
29,298593,1C,S3T,0.438865120468363
30,298593,1C,S4B,0.45935600090069806
31,298593,1C,S4T,0.5219545147489304
32,298593,2A,M1B,0.49459581175410944
33,298593,2A,M1T,0.4653231254222022
34,298593,2A,M2B,0.46993920288223373
35,298593,2A,M2T,0.44156721459130827
36,298593,2A,M3B,0.5503265030398559
37,298593,2A,M3T,0.4584553028597163
38,298593,2A,M4B,0.4850258950686782
39,298593,2A,M4T,0.536590857914884
40,298593,2A,S1B,0.5121594235532537
41,298593,2A,S1T,0.5097950911956767
42,298593,2A,S2B,0.4366133753659086
43,298593,2A,S2T,0.43256023418149064
44,298593,2A,S3B,0.5221796892591759
45,298593,2A,S3T,0.4791713578022968
46,298593,2A,S4B,0.4791713578022968
47,298593,2A,S4T,0.4791713578022968
48,298593,2C,M1B,0.4661112362080613
49,298593,2C,M1T,0.4609322224724161
50,298593,2C,M2B,0.433235757712227
51,298593,2C,M2T,0.43413645575320875
52,298593,2C,M3B,0.4478721008781806
53,298593,2C,M3T,0.49921188921414095
54,298593,2C,M4B,0.4679126322900248
55,298593,2C,M4T,0.48637694213015087
56,298593,2C,S1B,0.4886286872326053
57,298593,2C,S1T,0.4932447646926368
58,298593,2C,S2B,0.5210538167079487
59,298593,2C,S2T,0.46926367935149743
60,298593,2C,S3B,0.5097950911956767
61,298593,2C,S3T,0.4827741499662238
62,298593,2C,S4B,0.4827741499662238
63,298593,2C,S4T,0.4827741499662238
64,298593,3A,M1B,0.5478495834271561
65,298593,3A,M1T,0.4938077009682504
66,298593,3A,M2B,0.5127223598288674
67,298593,3A,M2T,0.4998874127448773
68,298593,3A,M3B,0.4938077009682504
69,298593,3A,M3T,0.4674622832695339
70,298593,3A,M4B,0.45305111461382575
71,298593,3A,M4T,0.41432109885161
72,298593,3A,S1B,0.4685881558207611
73,298593,3A,S1T,0.48750281468137807
74,298593,3A,S2B,0.491555955865796
75,298593,3A,S2T,0.45710425579824365
76,298593,3A,S3B,0.5230803873001576
77,298593,3A,S3T,0.4647601891465886
78,298593,3A,S4B,0.4647601891465886
79,298593,3A,S4T,0.4647601891465886
80,298593,3C,M1B,0.48750281468137807
81,298593,3C,M1T,0.48750281468137807
82,298593,3C,M2B,0.512497185318622
83,298593,3C,M2T,0.48997973429407793
84,298593,3C,M3B,0.4825489754559784
85,298593,3C,M3T,0.5109209637469039
86,298593,3C,M4B,0.4987615401936501
87,298593,3C,M4T,0.497185318621932
88,298593,3C,S1B,0.4998874127448773
89,298593,3C,S1T,0.506867822562486
90,298593,3C,S2B,0.48750281468137807
91,298593,3C,S2T,0.48750281468137807
92,298593,3C,S3B,0.49110560684530513
93,298593,3C,S3T,0.46498536365683407
94,298593,3C,S4B,0.46498536365683407
95,298593,3C,S4T,0.46498536365683407
96,298593,4A,M1B,0.48750281468137807
97,298593,4A,M1T,0.48750281468137807
98,298593,4A,M2B,0.548299932447647
99,298593,4A,M2T,0.49853636568340465
100,298593,4A,M3B,0.5025895068678226
101,298593,4A,M3T,0.44967349696014414
102,298593,4A,M4B,0.5014636343165954
103,298593,4A,M4T,0.4820986264354875
104,298593,4A,S1B,0.4872776401711326
105,298593,4A,S1T,0.48997973429407793
106,298593,4A,S2B,0.5717180815131727
107,298593,4A,S2T,0.4667867597387976
108,298593,4A,S3B,0.48637694213015087
109,298593,4A,S3T,0.45710425579824365
110,298593,4A,S4B,0.45710425579824365
111,298593,4A,S4T,0.45710425579824365
112,298593,4C,M1B,0.512497185318622
113,298593,4C,M1T,0.5001125872551228
114,298593,4C,M2B,0.48750281468137807
115,298593,4C,M2T,0.4771447872100878
116,298593,4C,M3B,0.45777977932897995
117,298593,4C,M3T,0.43638820085566316
118,298593,4C,M4B,0.4676874577797793
119,298593,4C,M4T,0.4667867597387976
120,298593,4C,S1B,0.4866021166403963
121,298593,4C,S1T,0.5170006755235308
122,298593,4C,S2B,0.48637694213015087
123,298593,4C,S2T,0.48750281468137807
124,298593,4C,S3B,0.4886286872326053
125,298593,4C,S3T,0.4753433911281243
126,298593,4C,S4B,0.4753433911281243
127,298593,4C,S4T,0.4753433911281243
128,298593,5A,M1B,0.48525106957892367
129,298593,5A,M1T,0.46408466561585227
130,298593,5A,M2B,0.5271335284845755
131,298593,5A,M2T,0.4814231029047512
132,298593,5A,M3B,0.4938077009682504
133,298593,5A,M3T,0.487953163701869
134,298593,5A,M4B,0.5156496284620581
135,298593,5A,M4T,0.48074757937401486
136,298593,5A,S1B,0.4832244989867147
137,298593,5A,S1T,0.49110560684530513
138,298593,5A,S2B,0.4854762440891691
139,298593,5A,S2T,0.47556856563836974
140,298593,5A,S3B,0.48817833821211437
141,298593,5A,S3T,0.4411168655708174
142,298593,5A,S4B,0.4411168655708174
143,298593,5A,S4T,0.4411168655708174
144,298593,5C,M1B,0.49065525782481423
145,298593,5C,M1T,0.5109209637469039
146,298593,5C,M2B,0.47286647151542444
147,298593,5C,M2T,0.4816482774149966
148,298593,5C,M3B,0.4701643773924792
149,298593,5C,M3T,0.4327854086917361
150,298593,5C,M4B,0.45147489304210764
151,298593,5C,M4T,0.4787210087818059
152,298593,5C,S1B,0.5095699166854312
153,298593,5C,S1T,0.5248817833821211
154,298593,5C,S2B,0.4685881558207611
155,298593,5C,S2T,0.5100202657059221
156,298593,5C,S3B,0.47061472641297003
157,298593,5C,S3T,0.4471965773474443
158,298593,5C,S4B,0.4471965773474443
159,298593,5C,S4T,0.4471965773474443
160,298593,6A,M1B,0.4708399009232155
161,298593,6A,M1T,0.48750281468137807
162,298593,6A,M2B,0.5023643323575772
163,298593,6A,M2T,0.5041657284395407
164,298593,6A,M3B,0.48592659310965997
165,298593,6A,M3T,0.4647601891465886
166,298593,6A,M4B,0.5212789912181941
167,298593,6A,M4T,0.47782031074082415
168,298593,6A,S1B,0.48750281468137807
169,298593,6A,S1T,0.48817833821211437
170,298593,6A,S2B,0.527358702994821
171,298593,6A,S2T,0.48592659310965997
172,298593,6A,S3B,0.4866021166403963
173,298593,6A,S3T,0.48592659310965997
174,298593,6A,S4B,0.48592659310965997
175,298593,6A,S4T,0.48592659310965997
176,298593,6C,M1B,0.48750281468137807
177,298593,6C,M1T,0.49898671470389555
178,298593,6C,M2B,0.44877279891916233
179,298593,6C,M2T,0.4890790362530962
180,298593,6C,M3B,0.469038504841252
181,298593,6C,M3T,0.4719657734744427
182,298593,6C,M4B,0.4661112362080613
183,298593,6C,M4T,0.4942580499887413
184,298593,6C,S1B,0.49808601666291374
185,298593,6C,S1T,0.50123845980635
186,298593,6C,S2B,0.47489304210763345
187,298593,6C,S2T,0.4820986264354875
188,298593,6C,S3B,0.4902049088043234
189,298593,6C,S3T,0.4483224498986715
190,298593,6C,S4B,0.4483224498986715
191,298593,6C,S4T,0.4483224498986715
192,298593,7A,M1B,0.4843503715379419
193,298593,7A,M1T,0.48750281468137807
194,298593,7A,M2B,0.50123845980635
195,298593,7A,M2T,0.4866021166403963
196,298593,7A,M3B,0.46228326953388876
197,298593,7A,M3T,0.45777977932897995
198,298593,7A,M4B,0.4976356676424229
199,298593,7A,M4T,0.5208286421977032
200,298593,7A,S1B,0.48705246566088717
201,298593,7A,S1T,0.48750281468137807
202,298593,7A,S2B,0.5111461382571493
