,LossValues
0,0.12427405339466142
1,0.10843063751235604
2,0.10847024840768427
3,0.10821500181087426
4,0.10710005302514349
5,0.10606767814273813
6,0.10451517516880163
7,0.1046498892496207
8,0.10353993749179478
9,0.10388670860057962
10,0.10308177218705948
11,0.10401920330644186
12,0.10346835974736937
13,0.1028799295225846
14,0.10414776367334914
15,0.10328228048248482
16,0.1041332438887496
17,0.10333897274852331
18,0.10336392609003399
19,0.10280327146340694
20,0.1033864904560947
21,0.10250243719201535
22,0.10264098582722779
23,0.10308188273172293
24,0.10217894974630326
25,0.10204820903683347
26,0.10250371662966375
27,0.10218612764895495
28,0.10111154858688158
29,0.1007917624332809
30,0.10031420369965158
31,0.0999812388160665
32,0.09988037619872817
33,0.09907465273447867
34,0.09879814138236855
35,0.09888249930060868
36,0.09799422722842012
37,0.09774833809517856
38,0.09809413324442826
39,0.09762901899271778
40,0.09787195071112365
41,0.09751802471665931
42,0.09695144894067198
43,0.09798149426933378
44,0.09709253192080983
45,0.09724609585412379
46,0.09635010388280664
47,0.09699480651345636
48,0.09685990315795477
49,0.09578274321808879
50,0.09558230450576437
51,0.09518638269842736
52,0.09581908856385521
53,0.09520872073647167
54,0.09461502830630966
55,0.09481397923082113
56,0.0933872452837282
57,0.09370434573585433
58,0.09361581590824894
59,0.09261332299294216
60,0.09163114774440016
61,0.09144890724149134
62,0.09104150382336229
63,0.09114508051425219
64,0.08987320799912725
65,0.09080684486044836
66,0.09087852228965078
67,0.08967712371876198
68,0.0893462273192459
69,0.08982218537546162
70,0.08787275752651372
71,0.08913857895614845
72,0.0874826143595523
73,0.08842397436300027
74,0.0865956199455208
75,0.0853851236502773
76,0.08652671739192945
77,0.0857676010013425
78,0.08433266474665808
79,0.08399378955696843
80,0.08413965674117208
81,0.08424890631743308
82,0.08344716693474245
83,0.08344111017816301
84,0.08099682554270007
85,0.07997709071995425
86,0.08107112544322652
87,0.07948891362840575
88,0.07962329186765212
89,0.07844569213089667
90,0.0810455237348963
91,0.07912855769973248
92,0.07818796277777958
93,0.07645917846821249
94,0.0757583279461999
95,0.07753421183276389
96,0.07658462731965951
97,0.07477288490294345
98,0.0738618222198316
99,0.07478918339724519
100,0.07306857240785446
101,0.0746787094976753
102,0.07268799848056265
103,0.07148970156309328
104,0.07202301990972566
105,0.07089920787672911
106,0.07166598649096809
107,0.07123534511109549
108,0.07079610464695309
109,0.07145110354758799
110,0.07155329431407154
111,0.0691485453363774
112,0.0701082657823073
113,0.06844594703787672
114,0.06842247604592037
115,0.06884781903188143
116,0.06834166869521141
117,0.06855737351413284
118,0.0671247945533001
119,0.06746893906633236
120,0.0676324785287891
121,0.06690995124102171
122,0.0665963563785356
123,0.06422157406008669
124,0.06499408667774073
125,0.06451758682461721
126,0.064924012902858
127,0.06370615232403257
128,0.06503724476455577
129,0.06332459324039519
130,0.06247466014299009
131,0.06127165736896651
132,0.06098199023732117
133,0.059970382251776755
134,0.0604416806849518
135,0.06047754157667181
136,0.06213475304788777
137,0.061423992638343146
138,0.05953483684321067
139,0.06036696894027825
140,0.05706919019576162
141,0.057924097936068265
142,0.057121508538589945
143,0.05596157544225987
144,0.0582788639834949
145,0.054833828388447206
146,0.05426896963867226
147,0.05643517149811877
148,0.05721748322581074
149,0.05275105121212879
150,0.05449442141356745
151,0.0534972454022084
152,0.05173136404482648
153,0.053016353997268846
154,0.0566746346220108
155,0.053244900257725804
156,0.050686500051857104
157,0.050412894991625636
158,0.051380600730356364
159,0.05046609215371843
160,0.049912484346090684
161,0.049711801610620956
162,0.04948775952548853
163,0.048574348678812385
164,0.047595028981699476
165,0.04653005275343146
166,0.047221161159021516
167,0.049061563215218484
168,0.04654172478642847
169,0.04781284203220691
170,0.0457902509120426
171,0.04605627236222582
172,0.046986744639330676
173,0.04542746952003134
174,0.04554491900073897
175,0.045625415306338776
176,0.04407587753874915
177,0.04436317052958267
178,0.04388126481457481
179,0.043365950346924365
180,0.04376417313635882
181,0.04356688989459404
182,0.042736117412070077
183,0.04281162068114749
184,0.04106878731233467
185,0.04108973935113421
186,0.040704464340316396
187,0.04164780528351132
188,0.04352696677337268
189,0.041052103973925114
190,0.040706263788576634
191,0.039629466399284344
192,0.03891941874254761
193,0.03930086447923843
194,0.03854427040122183
195,0.038757730957253704
196,0.038923044805414975
197,0.037306160715940805
198,0.037499186907163154
199,0.03812860995198467
200,0.03759766223707369
201,0.0368488627552454
202,0.036599345438714535
203,0.03642672870773822
204,0.03569671669642308
205,0.03729726118867153
206,0.03704615043742316
207,0.037282945455185006
208,0.03651044798815357
209,0.034244284815421064
210,0.03551741603795173
211,0.035468865161029886
212,0.03545314365432465
213,0.033641511133672405
214,0.03425975512280794
215,0.03403031529991755
216,0.03503888171066397
217,0.03484957968716377
218,0.03340755236734237
219,0.03385094624744462
220,0.035272479456450255
221,0.03397850673146812
222,0.03302013857423195
223,0.03394287303256403
224,0.033717112441081554
225,0.03362006644186165
226,0.03320783351747585
227,0.03372537214142669
228,0.033665299257596155
229,0.03218628999145169
230,0.03200494770758918
231,0.031728568071100326
232,0.033633528327170224
233,0.03181720884250743
234,0.03352883243600705
235,0.03232300438685343
236,0.03194984260647159
237,0.0315152172697708
238,0.03126735928734498
239,0.03188551448485149
240,0.0310816116148739
241,0.029220480105972717
242,0.029155625121867552
243,0.029331391560845077
244,0.02965329772892541
245,0.02964674837754241
246,0.030937677798127488
247,0.028835005409616445
248,0.02835266382732828
249,0.030038295837584883
250,0.02883951465732285
251,0.028254614369611124
252,0.02733203989919275
253,0.0288447367160448
254,0.028117941226810217
255,0.028753054719085673
256,0.02953704651944073
257,0.029403622553218156
258,0.02789031243550458
259,0.02785678971226194
260,0.027210092488011078
261,0.029387889646126757
262,0.0283248072706296
263,0.027123043230468675
264,0.02828286914986425
265,0.028073618130292743
266,0.02648667966215206
267,0.026252094897375042
268,0.026789085515442172
269,0.026882277785002122
270,0.027502590948383192
271,0.028231073270684907
272,0.02704646355206413
273,0.025862212650411363
274,0.025639068418448523
275,0.02589947751091261
276,0.02562110158448507
277,0.026183619504861002
278,0.02558939469080152
279,0.024658819086783166
280,0.024909880386465893
281,0.02539581381383219
282,0.02432373816347016
283,0.024800384932729815
284,0.0247088834709887
285,0.024750053059376245
286,0.023648287585404302
287,0.02456034401464941
288,0.023634042848633335
289,0.024687931465450674
290,0.024883828034424887
291,0.024749583897313902
292,0.023417067273320363
293,0.025295854271722158
294,0.024013886959957226
295,0.02294826929158132
296,0.02323110481458051
297,0.023761803142925992
298,0.024706703128426204
299,0.02314949902938679
300,0.02368566284089216
301,0.022939270096165792
302,0.022615661104542335
303,0.02403865668955924
304,0.02195405406278691
305,0.023138606288869466
306,0.022083969820024713
307,0.022859628179243634
308,0.022800136656899537
309,0.021926348097622395
310,0.02232594372305487
311,0.022841302677989006
312,0.022877890716439912
313,0.022339239159399376
314,0.022151181665581783
315,0.02261405991157517
316,0.021782422587940737
317,0.022959581642810787
318,0.02220896291380216
319,0.02237002631383283
320,0.02255836407753772
321,0.020992185338400304
322,0.020747153870096163
323,0.02123966026868272
324,0.02183365060149559
325,0.020916058133090182
326,0.02150331494132323
327,0.020107733027543873
328,0.020760757200020765
329,0.020818093276050473
330,0.02171040197468496
331,0.02182764696356441
332,0.021338056274024502
333,0.020673800101836344
334,0.020745699152549996
335,0.02182466082740575
336,0.021229528073620583
337,0.019979647734934197
338,0.02002539675283645
339,0.020635316555853933
340,0.01965706650766411
341,0.020735711058867828
342,0.020997658904109682
343,0.02085378366921629
