,RunNumber,Staves,Rows,PedestalValue
0,297288,1A,M1B,0.42454919329326163
1,297288,1A,M1T,0.3793103448275862
2,297288,1A,M2B,0.48402404302435936
3,297288,1A,M2T,0.46187915216703573
4,297288,1A,M3B,0.3691869661499525
5,297288,1A,M3T,0.4074659917747548
6,297288,1A,M4B,0.4403669724770642
7,297288,1A,M4T,0.42834546029737425
8,297288,1A,S1B,0.4587155963302752
9,297288,1A,S1T,0.5574185384372033
10,297288,1A,S2B,0.5319519139512812
11,297288,1A,S2T,0.5083834229674153
12,297288,1A,S3B,0.5153432458082885
13,297288,1A,S3T,0.49667826637140144
14,297288,1A,S4B,0.4311926605504587
15,297288,1A,S4T,0.49604555520404936
16,297288,1C,M1B,0.4318253717178108
17,297288,1C,M1T,0.4239164821259095
18,297288,1C,M2B,0.4220183486238532
19,297288,1C,M2T,0.4732679531793736
20,297288,1C,M3B,0.4359379943055995
21,297288,1C,M3T,0.4141094590319519
22,297288,1C,M4B,0.4150585257829801
23,297288,1C,M4T,0.40398608035431827
24,297288,1C,S1B,0.46488453021195825
25,297288,1C,S1T,0.5159759569756406
26,297288,1C,S2B,0.43641252768111355
27,297288,1C,S2T,0.37915216703574817
28,297288,1C,S3B,0.45839924074659916
29,297288,1C,S3T,0.4422651059791205
30,297288,1C,S4B,0.4134767478645998
31,297288,1C,S4T,0.42170199304017714
32,297288,2A,M1B,0.518348623853211
33,297288,2A,M1T,0.46741537488136664
34,297288,2A,M2B,0.46377728566909204
35,297288,2A,M2T,0.4688389750079089
36,297288,2A,M3B,0.5466624485922176
37,297288,2A,M3T,0.35526732046820625
38,297288,2A,M4B,0.4685226194242328
39,297288,2A,M4T,0.5397026257513445
40,297288,2A,S1B,0.42897817146472633
41,297288,2A,S1T,0.512496045555204
42,297288,2A,S2B,0.4640936412527681
43,297288,2A,S2T,0.39259727934198035
44,297288,2A,S3B,0.4906675102815564
45,297288,2A,S3T,0.4470104397342613
46,297288,2A,S4B,0.4470104397342613
47,297288,2A,S4T,0.4470104397342613
48,297288,2C,M1B,0.4587155963302752
49,297288,2C,M1T,0.4440050616893388
50,297288,2C,M2B,0.46820626384055675
51,297288,2C,M2T,0.4903511546978804
52,297288,2C,M3B,0.3767795001581778
53,297288,2C,M3T,0.48750395444479594
54,297288,2C,M4B,0.4890857323631762
55,297288,2C,M4T,0.4745333755140778
56,297288,2C,S1B,0.45223030686491617
57,297288,2C,S1T,0.487820310028472
58,297288,2C,S2B,0.4533375514077823
59,297288,2C,S2T,0.4305599493831066
60,297288,2C,S3B,0.475798797848782
61,297288,2C,S3T,0.43087630496678264
62,297288,2C,S4B,0.43087630496678264
63,297288,2C,S4T,0.43087630496678264
64,297288,3A,M1B,0.48845302119582407
65,297288,3A,M1T,0.4739006643467257
66,297288,3A,M2B,0.43941790572603606
67,297288,3A,M2T,0.40968048086048714
68,297288,3A,M3B,0.3938627016766846
69,297288,3A,M3T,0.37804492249288196
70,297288,3A,M4B,0.4239164821259095
71,297288,3A,M4T,0.4432141727301487
72,297288,3A,S1B,0.42802910471369815
73,297288,3A,S1T,0.4580828851629231
74,297288,3A,S2B,0.5207212907307813
75,297288,3A,S2T,0.47105346409364124
76,297288,3A,S3B,0.4188547927870927
77,297288,3A,S3T,0.5102815564694717
78,297288,3A,S4B,0.5102815564694717
79,297288,3A,S4T,0.5102815564694717
80,297288,3C,M1B,0.45839924074659916
81,297288,3C,M1T,0.4561847516608668
82,297288,3C,M2B,0.4150585257829801
83,297288,3C,M2T,0.47231888642834546
84,297288,3C,M3B,0.44637772856690916
85,297288,3C,M3T,0.5210376463144575
86,297288,3C,M4B,0.4653590635874723
87,297288,3C,M4T,0.52483391331857
88,297288,3C,S1B,0.45017399557102183
89,297288,3C,S1T,0.46314457450173996
90,297288,3C,S2B,0.46314457450173996
91,297288,3C,S2T,0.4653590635874723
92,297288,3C,S3B,0.46567541917114835
93,297288,3C,S3T,0.4549193293261626
94,297288,3C,S4B,0.4549193293261626
95,297288,3C,S4T,0.4549193293261626
96,297288,4A,M1B,0.45555204049351466
97,297288,4A,M1T,0.4476431509016134
98,297288,4A,M2B,0.4726352420120215
99,297288,4A,M2T,0.4621955077507118
100,297288,4A,M3B,0.41695665928503634
101,297288,4A,M3T,0.4615627965833597
102,297288,4A,M4B,0.536539069914584
103,297288,4A,M4T,0.41569123695033217
104,297288,4A,S1B,0.4568174628282189
105,297288,4A,S1T,0.44479595064852895
106,297288,4A,S2B,0.45713381841189493
107,297288,4A,S2T,0.42802910471369815
108,297288,4A,S3B,0.4596646630813034
109,297288,4A,S3T,0.4666244859221765
110,297288,4A,S4B,0.4666244859221765
111,297288,4A,S4T,0.4666244859221765
112,297288,4C,M1B,0.44669408415058526
113,297288,4C,M1T,0.46472635242012017
114,297288,4C,M2B,0.4508067067383739
115,297288,4C,M2T,0.4508067067383739
116,297288,4C,M3B,0.46187915216703573
117,297288,4C,M3T,0.46947168617526097
118,297288,4C,M4B,0.44859221765264157
119,297288,4C,M4T,0.45903195191395124
120,297288,4C,S1B,0.4678899082568807
121,297288,4C,S1T,0.4580828851629231
122,297288,4C,S2B,0.4625118633343878
123,297288,4C,S2T,0.4577665295792471
124,297288,4C,S3B,0.4577665295792471
