,LossValues
0,0.03739766445609608
1,0.02361946295215083
2,0.023237562655205175
3,0.025573744821096107
4,0.025117719812052592
5,0.025869137441207255
6,0.023803459097897366
7,0.024655722148184265
8,0.02444069057569972
9,0.023753385042904744
10,0.02320516837893852
11,0.022965225224782313
12,0.024138152865426882
13,0.022795479761303535
14,0.022308380575850606
15,0.023598502040840685
16,0.022384619223885238
17,0.022103042574599385
18,0.02290611481294036
19,0.02213790448981204
20,0.02205302075682474
21,0.023001486119548126
22,0.021745692223443518
23,0.02301113658385085
24,0.022343672928400338
25,0.02273078851534852
26,0.022452545319018618
27,0.022595474429960762
28,0.022587343751053725
29,0.022092383438056067
30,0.021860554781077162
31,0.022045418902832483
32,0.021884278560589467
33,0.022046175319701433
34,0.02210724849386939
35,0.022066001181623766
36,0.022164771865521158
37,0.021671887952834368
38,0.02176880884716021
39,0.021611668319175287
40,0.02151233543242727
41,0.021853427119952227
42,0.021348518851612295
43,0.021998561170351292
44,0.021353423861520632
45,0.021533730306795666
46,0.02146057302265295
47,0.021416231790291413
48,0.02156384693392153
49,0.021822145308500955
50,0.02158033077804638
51,0.021287104015105536
52,0.02158387762028724
53,0.021616760242198194
54,0.02099806216678449
55,0.021136428412449147
56,0.021232833703314618
57,0.021346906482774233
58,0.020967433994103755
59,0.020909719734585712
60,0.021367477918309823
61,0.021126428585765616
62,0.02138874862742211
63,0.021364852104202976
64,0.021192618678989156
65,0.021107830639396395
66,0.021121142897754908
67,0.02074473652256919
68,0.021118940585958108
69,0.020832024980336428
70,0.02110952982080302
71,0.021066061487155303
72,0.02101335094110774
73,0.02083027351181954
74,0.021010965358332863
75,0.02076864320718284
76,0.020789514279126058
77,0.020746290251346573
78,0.020865692174993455
79,0.021128998952917755
80,0.020925235119648278
81,0.020834381026881083
82,0.02095365333038249
83,0.020653338637202978
84,0.020752741672497774
85,0.020788973297125528
86,0.020621827836813673
87,0.020850687005024935
88,0.020683984488381872
89,0.0207492626338665
90,0.020686782647057304
91,0.020770720771646926
92,0.02063308865763247
93,0.0206941841502807
94,0.020762985405911292
95,0.020599104231223464
96,0.020851422383982156
