,RunNumber,Staves,Rows,PedestalValue
0,293532,1A,M1B,0.8198270482303647
1,293532,1A,M1T,0.7648658286529375
2,293532,1A,M2B,0.760809485602211
3,293532,1A,M2T,0.6195061068021753
4,293532,1A,M3B,0.771240082018365
5,293532,1A,M3T,0.5418561112596951
6,293532,1A,M4B,0.698315057502006
7,293532,1A,M4T,0.7499331372024606
8,293532,1A,S1B,0.7359365249175359
9,293532,1A,S1T,0.7016136221806187
10,293532,1A,S2B,0.8947579566729073
11,293532,1A,S2T,0.7475706516894001
12,293532,1A,S3B,0.7648212534545779
13,293532,1A,S3T,0.5553178211643042
14,293532,1A,S4B,0.7716858340019613
15,293532,1A,S4T,1.0
16,293532,1C,M1B,0.7352678969421415
17,293532,1C,M1T,0.7331282874208791
18,293532,1C,M2B,0.5707408397967371
19,293532,1C,M2T,0.551216902915218
20,293532,1C,M3B,0.5839350985111884
21,293532,1C,M3T,0.4504769546224481
22,293532,1C,M4B,0.58981902469466
23,293532,1C,M4T,0.8195595970402069
24,293532,1C,S1B,0.7460996701435322
25,293532,1C,S1T,0.7226531158063654
26,293532,1C,S2B,0.6992065614691986
27,293532,1C,S2T,0.7567085673531248
28,293532,1C,S3B,0.7233663189801195
29,293532,1C,S3T,0.500133725595079
30,293532,1C,S4B,0.829366140679326
31,293532,1C,S4T,0.8080591958634216
32,293532,2A,M1B,0.8283854863154141
33,293532,2A,M1T,0.7294731211553892
34,293532,2A,M2B,0.6328786663100651
35,293532,2A,M2T,0.5407863064990639
36,293532,2A,M3B,0.41383614157083004
37,293532,2A,M3T,0.0
38,293532,2A,M4B,0.7749843986805741
39,293532,2A,M4T,0.8287420879022912
40,293532,2A,S1B,0.7902291165195685
41,293532,2A,S1T,0.7182847463671214
42,293532,2A,S2B,0.5453329767317465
43,293532,2A,S2T,0.6655077115093162
44,293532,2A,S3B,0.5141303378800036
45,293532,2A,S3T,0.5313363644468219
46,293532,2A,S4B,0.5313363644468219
47,293532,2A,S4T,0.5313363644468219
48,293532,2C,M1B,0.7272889364357672
49,293532,2C,M1T,0.7763662298297228
50,293532,2C,M2B,0.6974235535348132
51,293532,2C,M2T,0.5140411874832843
52,293532,2C,M3B,0.38200944994205227
53,293532,2C,M3T,0.05652135152001425
54,293532,2C,M4B,0.7395025407863065
55,293532,2C,M4T,0.9807435143086387
56,293532,2C,S1B,0.7264420076669341
57,293532,2C,S1T,0.7329945618258001
58,293532,2C,S2B,0.5919586342159223
59,293532,2C,S2T,0.4312204689310868
60,293532,2C,S3B,0.4193634661674245
61,293532,2C,S3T,0.3474190960149773
62,293532,2C,S4B,0.3474190960149773
63,293532,2C,S4T,0.3474190960149773
64,293532,3A,M1B,0.7307658019078185
65,293532,3A,M1T,0.8029776232504235
66,293532,3A,M2B,0.4943389498083267
67,293532,3A,M2T,0.7211375590621378
68,293532,3A,M3B,0.6330569671035037
69,293532,3A,M3T,0.782651332798431
70,293532,3A,M4B,0.6861906035481858
71,293532,3A,M4T,0.8834804314879201
72,293532,3A,S1B,0.8125167156993849
73,293532,3A,S1T,0.7645538022644202
74,293532,3A,S2B,0.5538022644200767
75,293532,3A,S2T,0.8027993224569849
76,293532,3A,S3B,0.7127574217705269
77,293532,3A,S3T,0.7330837122225194
78,293532,3A,S4B,0.7330837122225194
79,293532,3A,S4T,0.7330837122225194
80,293532,3C,M1B,0.6887759650530445
81,293532,3C,M1T,0.7278238388160828
82,293532,3C,M2B,0.8375679771774984
83,293532,3C,M2T,0.769546224480699
84,293532,3C,M3B,0.7307658019078185
85,293532,3C,M3T,0.6894891682267986
86,293532,3C,M4B,0.8544174021574397
87,293532,3C,M4T,0.8964072390122136
88,293532,3C,S1B,0.695640545600428
89,293532,3C,S1T,0.7682981189266292
90,293532,3C,S2B,0.8540608005705626
91,293532,3C,S2T,0.8062761879290363
92,293532,3C,S3B,0.7693679236872605
93,293532,3C,S3T,0.6187929036284212
94,293532,3C,S4B,0.6187929036284212
95,293532,3C,S4T,0.6187929036284212
96,293532,4A,M1B,0.7364714272978515
97,293532,4A,M1T,0.7705268788446109
98,293532,4A,M2B,0.5944548453240617
99,293532,4A,M2T,0.6909155745743069
100,293532,4A,M3B,0.7180172951769636
101,293532,4A,M3T,0.7299634483373452
102,293532,4A,M4B,0.7213158598555763
103,293532,4A,M4T,0.7419096014977267
104,293532,4A,S1B,0.8198270482303647
105,293532,4A,S1T,0.7690113221003834
106,293532,4A,S2B,0.6660426138896318
107,293532,4A,S2T,0.6737095480074886
108,293532,4A,S3B,0.704733886065793
109,293532,4A,S3T,0.8236605152892931
110,293532,4A,S4B,0.8236605152892931
111,293532,4A,S4T,0.8236605152892931
112,293532,4C,M1B,0.6777213158598556
113,293532,4C,M1T,0.7416421503075689
114,293532,4C,M2B,0.7761433538379247
115,293532,4C,M2T,0.73058750111438
116,293532,4C,M3B,0.7329945618258001
117,293532,4C,M3T,0.745029865382901
118,293532,4C,M4B,0.8303467950432379
119,293532,4C,M4T,0.891503967192654
120,293532,4C,S1B,0.6790585718106446
121,293532,4C,S1T,0.6663992154765089
122,293532,4C,S2B,0.8356958188463939
123,293532,4C,S2T,0.8125167156993849
124,293532,4C,S3B,0.7521618971204422
125,293532,4C,S3T,0.7988767050013372
126,293532,4C,S4B,0.7988767050013372
127,293532,4C,S4T,0.7988767050013372
128,293532,5A,M1B,0.7775697601854329
129,293532,5A,M1T,0.7689221717036641
130,293532,5A,M2B,0.6660426138896318
131,293532,5A,M2T,0.6794151733975217
132,293532,5A,M3B,0.7114201658197379
133,293532,5A,M3T,0.7336186146028351
134,293532,5A,M4B,0.7245252741374699
135,293532,5A,M4T,0.7068734955870554
136,293532,5A,S1B,0.7674957653561558
137,293532,5A,S1T,0.7671391637692788
138,293532,5A,S2B,0.640902202014799
139,293532,5A,S2T,0.8118035125256308
140,293532,5A,S3B,0.7420879022911653
141,293532,5A,S3T,0.7419096014977267
142,293532,5A,S4B,0.7419096014977267
143,293532,5A,S4T,0.7419096014977267
144,293532,5C,M1B,0.6803958277614336
145,293532,5C,M1T,0.7234554693768388
146,293532,5C,M2B,0.8172416867255059
147,293532,5C,M2T,0.7678523669430329
148,293532,5C,M3B,0.7206918070785415
149,293532,5C,M3T,0.7280912900062405
150,293532,5C,M4B,0.707408397967371
151,293532,5C,M4T,0.7707051796380494
152,293532,5C,S1B,0.6733529464206116
153,293532,5C,S1T,0.6782562182401712
