ModelNames,ROC,F1
Logistic,91.11,93.77
DecisionTree,89.12,93.72
RandomForest,93.83,96.44
GradientBoosting,93.32,96.39
AdaBoost,91.95,95.15
KNN,93.17,96.29
MLP,93.06,96.23
CatBoost,93.95,96.7
