,RunNumber,Staves,Rows,PedestalValue
99,293533,4A,M2T,0.4678899082568807
100,293533,4A,M3B,0.3916482125909522
101,293533,4A,M3T,0.4786459981018665
102,293533,4A,M4B,0.4561847516608668
103,293533,4A,M4T,0.4688389750079089
104,293533,4A,S1B,0.4805441316039228
105,293533,4A,S1T,0.4580828851629231
106,293533,4A,S2B,0.4542866181588105
107,293533,4A,S2T,0.46124644099968365
108,293533,4A,S3B,0.41632394811768425
109,293533,4A,S3T,0.5153432458082885
110,293533,4A,S4B,0.5153432458082885
111,293533,4A,S4T,0.5153432458082885
112,293533,4C,M1B,0.4580828851629231
113,293533,4C,M1T,0.40398608035431827
114,293533,4C,M2B,0.5036380892122746
115,293533,4C,M2T,0.5267320468206264
116,293533,4C,M3B,0.5175577348940209
117,293533,4C,M3T,0.5529895602657386
118,293533,4C,M4B,0.5276811135716545
119,293533,4C,M4T,0.5333755140778235
120,293533,4C,S1B,0.4742170199304018
121,293533,4C,S1T,0.4489085732363176
122,293533,4C,S2B,0.4533375514077823
123,293533,4C,S2T,0.4659917747548244
124,293533,4C,S3B,0.4928819993672888
125,293533,4C,S3T,0.5428661815881051
126,293533,4C,S4B,0.5428661815881051
127,293533,4C,S4T,0.5428661815881051
128,293533,5A,M1B,0.5371717810819361
129,293533,5A,M1T,0.4580828851629231
130,293533,5A,M2B,0.44258146156279654
131,293533,5A,M2T,0.4615627965833597
132,293533,5A,M3B,0.41569123695033217
133,293533,5A,M3T,0.47010439734261306
134,293533,5A,M4B,0.45302119582410627
135,293533,5A,M4T,0.44447959506485285
136,293533,5A,S1B,0.46029737424865547
137,293533,5A,S1T,0.45839924074659916
138,293533,5A,S2B,0.46029737424865547
139,293533,5A,S2T,0.5460297374248655
140,293533,5A,S3B,0.4324580828851629
141,293533,5A,S3T,0.5172413793103448
142,293533,5A,S4B,0.5172413793103448
143,293533,5A,S4T,0.5172413793103448
144,293533,5C,M1B,0.4552356849098386
145,293533,5C,M1T,0.4457450173995571
146,293533,5C,M2B,0.5257829800695982
147,293533,5C,M2T,0.5219867130654856
148,293533,5C,M3B,0.5355900031635559
149,293533,5C,M3T,0.5264156912369503
150,293533,5C,M4B,0.5387535590003163
151,293533,5C,M4T,0.518190446061373
152,293533,5C,S1B,0.45839924074659916
153,293533,5C,S1T,0.45839924074659916
154,293533,5C,S2B,0.4871875988611199
155,293533,5C,S2T,0.4552356849098386
156,293533,5C,S3B,0.5425498260044289
157,293533,5C,S3T,0.5330591584941474
158,293533,5C,S4B,0.5330591584941474
159,293533,5C,S4T,0.5330591584941474
160,293533,6A,M1B,0.5279974691553305
161,293533,6A,M1T,0.49731097753875353
162,293533,6A,M2B,0.4115786143625435
163,293533,6A,M2T,0.49572919962037326
164,293533,6A,M3B,0.38437203416640303
165,293533,6A,M3T,0.5371717810819361
166,293533,6A,M4B,0.4508067067383739
167,293533,6A,M4T,0.5327428029104714
168,293533,6A,S1B,0.4587155963302752
169,293533,6A,S1T,0.45839924074659916
170,293533,6A,S2B,0.457450173995571
171,293533,6A,S2T,0.4625118633343878
172,293533,6A,S3B,0.45112306232204996
173,293533,6A,S3T,0.4833913318570073
174,293533,6A,S4B,0.4833913318570073
175,293533,6A,S4T,0.4833913318570073
176,293533,6C,M1B,0.4435305283138247
